Date,Open,High,Low,Close
12/31/2020,"99.93","99.93","99.93","99.93"
12/30/2020,"99.92","99.93","99.92","99.93"
12/29/2020,"99.92","99.93","99.92","99.93"
12/28/2020,"99.93","99.93","99.92","99.92"
12/24/2020,"99.93","99.93","99.92","99.93"
12/23/2020,"99.92","99.93","99.92","99.93"
12/22/2020,"99.92","99.92","99.91","99.92"
12/21/2020,"99.92","99.92","99.91","99.91"
12/18/2020,"99.92","99.92","99.92","99.92"
12/17/2020,"99.92","99.93","99.92","99.92"
12/16/2020,"99.92","99.93","99.92","99.93"
12/15/2020,"99.93","99.93","99.93","99.93"
12/14/2020,"99.93","99.93","99.92","99.93"
12/11/2020,"99.93","99.93","99.93","99.93"
12/10/2020,"99.93","99.93","99.93","99.93"
12/09/2020,"99.93","99.93","99.93","99.93"
12/08/2020,"99.93","99.93","99.93","99.93"
12/07/2020,"99.93","99.93","99.93","99.93"
12/04/2020,"99.93","99.93","99.93","99.93"
12/03/2020,"99.93","99.93","99.93","99.93"
12/02/2020,"99.93","99.93","99.93","99.93"
12/01/2020,"99.93","99.93","99.93","99.93"
11/30/2020,"99.93","99.93","99.93","99.93"
11/27/2020,"99.92","99.92","99.91","99.92"
11/25/2020,"99.92","99.92","99.92","99.92"
11/24/2020,"99.92","99.92","99.91","99.92"
11/23/2020,"99.92","99.92","99.91","99.91"
11/20/2020,"99.92","99.92","99.92","99.91"
11/19/2020,"99.91","99.92","99.91","99.92"
11/18/2020,"99.91","99.91","99.91","99.91"
11/17/2020,"99.91","99.91","99.91","99.91"
11/16/2020,"99.91","99.91","99.91","99.91"
11/13/2020,"99.91","99.91","99.91","99.91"
11/12/2020,"99.91","99.91","99.90","99.91"
11/11/2020,"99.91","99.91","99.90","99.90"
11/10/2020,"99.90","99.91","99.90","99.90"
11/09/2020,"99.91","99.91","99.90","99.91"
11/06/2020,"99.90","99.91","99.90","99.90"
11/05/2020,"99.91","99.91","99.90","99.90"
11/04/2020,"99.91","99.91","99.91","99.91"
11/03/2020,"99.92","99.92","99.91","99.91"
11/02/2020,"99.92","99.92","99.92","99.92"
10/30/2020,"99.91","99.91","99.91","99.91"
10/29/2020,"99.91","99.91","99.91","99.91"
10/28/2020,"99.91","99.91","99.91","99.91"
10/27/2020,"99.91","99.92","99.91","99.91"
10/26/2020,"99.91","99.91","99.91","99.91"
10/23/2020,"99.92","99.92","99.91","99.91"
10/22/2020,"99.92","99.92","99.91","99.92"
10/21/2020,"99.91","99.91","99.91","99.91"
10/20/2020,"99.91","99.91","99.91","99.91"
10/19/2020,"99.91","99.91","99.91","99.91"
10/16/2020,"99.91","99.91","99.91","99.91"
10/15/2020,"99.91","99.92","99.91","99.91"
10/14/2020,"99.92","99.92","99.91","99.92"
10/13/2020,"99.92","99.92","99.92","99.92"
10/12/2020,"99.92","99.92","99.92","99.92"
10/09/2020,"99.92","99.92","99.92","99.92"
10/08/2020,"99.92","99.92","99.92","99.92"
10/07/2020,"99.92","99.92","99.92","99.92"
10/06/2020,"99.92","99.92","99.92","99.92"
10/05/2020,"99.93","99.93","99.92","99.92"
10/02/2020,"99.93","99.93","99.92","99.93"
10/01/2020,"99.93","99.93","99.93","99.93"
09/30/2020,"99.91","99.91","99.91","99.92"
09/29/2020,"99.91","99.92","99.91","99.91"
09/28/2020,"99.91","99.92","99.91","99.91"
09/25/2020,"99.91","99.91","99.91","99.91"
09/24/2020,"99.91","99.91","99.91","99.91"
09/23/2020,"99.91","99.91","99.91","99.91"
09/22/2020,"99.91","99.91","99.91","99.91"
09/21/2020,"99.91","99.91","99.91","99.91"
09/18/2020,"99.91","99.91","99.91","99.91"
09/17/2020,"99.91","99.91","99.91","99.91"
09/16/2020,"99.91","99.92","99.91","99.91"
09/15/2020,"99.91","99.91","99.91","99.91"
09/14/2020,"99.91","99.92","99.91","99.91"
09/11/2020,"99.91","99.92","99.91","99.91"
09/10/2020,"99.92","99.92","99.92","99.91"
09/09/2020,"99.91","99.92","99.91","99.92"
09/08/2020,"99.91","99.92","99.91","99.91"
09/04/2020,"99.92","99.92","99.92","99.92"
09/03/2020,"99.93","99.93","99.92","99.92"
09/02/2020,"99.93","99.93","99.92","99.92"
09/01/2020,"99.93","99.93","99.93","99.93"
08/31/2020,"99.92","99.92","99.92","99.92"
08/28/2020,"99.92","99.92","99.91","99.92"
08/27/2020,"99.92","99.92","99.91","99.92"
08/26/2020,"99.91","99.91","99.91","99.91"
08/25/2020,"99.92","99.92","99.91","99.91"
08/24/2020,"99.92","99.92","99.91","99.92"
08/21/2020,"99.91","99.92","99.91","99.92"
08/20/2020,"99.91","99.92","99.91","99.91"
08/19/2020,"99.91","99.92","99.91","99.91"
08/18/2020,"99.91","99.91","99.91","99.91"
08/17/2020,"99.91","99.91","99.91","99.91"
08/14/2020,"99.91","99.91","99.91","99.91"
08/13/2020,"99.91","99.91","99.91","99.91"
08/12/2020,"99.91","99.91","99.91","99.91"
08/11/2020,"99.91","99.91","99.91","99.91"
08/10/2020,"99.92","99.92","99.91","99.91"
08/07/2020,"99.92","99.92","99.92","99.92"
08/06/2020,"99.92","99.92","99.92","99.92"
08/05/2020,"99.92","99.92","99.91","99.92"
08/04/2020,"99.92","99.92","99.92","99.91"
08/03/2020,"99.92","99.92","99.92","99.92"
07/31/2020,"99.89","99.90","99.89","99.89"
07/30/2020,"99.90","99.90","99.89","99.89"
07/29/2020,"99.90","99.90","99.89","99.89"
07/28/2020,"99.89","99.90","99.90","99.89"
07/27/2020,"99.89","99.90","99.89","99.90"
07/24/2020,"99.89","99.90","99.89","99.89"
07/23/2020,"99.90","99.90","99.89","99.89"
07/22/2020,"99.89","99.90","99.89","99.89"
07/21/2020,"99.89","99.89","99.89","99.89"
07/20/2020,"99.90","99.90","99.90","99.89"
07/17/2020,"99.90","99.90","99.90","99.90"
07/16/2020,"99.90","99.90","99.90","99.90"
07/15/2020,"99.90","99.90","99.90","99.90"
07/14/2020,"99.90","99.90","99.90","99.90"
07/13/2020,"99.90","99.90","99.90","99.90"
07/10/2020,"99.91","99.91","99.90","99.90"
07/09/2020,"99.91","99.91","99.91","99.91"
07/08/2020,"99.91","99.91","99.90","99.91"
07/07/2020,"99.90","99.91","99.90","99.90"
07/06/2020,"99.91","99.91","99.90","99.91"
07/02/2020,"99.92","99.92","99.91","99.91"
07/01/2020,"99.93","99.93","99.92","99.92"
06/30/2020,"99.92","99.92","99.92","99.92"
06/29/2020,"99.92","99.92","99.92","99.92"
06/26/2020,"99.92","99.92","99.92","99.92"
06/25/2020,"99.92","99.92","99.92","99.92"
06/24/2020,"99.92","99.92","99.92","99.92"
06/23/2020,"99.92","99.92","99.92","99.92"
06/22/2020,"99.92","99.92","99.92","99.92"
06/19/2020,"99.92","99.92","99.92","99.92"
06/18/2020,"99.92","99.92","99.92","99.92"
06/17/2020,"99.92","99.92","99.92","99.92"
06/16/2020,"99.92","99.92","99.92","99.92"
06/15/2020,"99.92","99.92","99.91","99.92"
06/12/2020,"99.91","99.92","99.91","99.92"
06/11/2020,"99.93","99.93","99.91","99.93"
06/10/2020,"99.92","99.93","99.92","99.93"
06/09/2020,"99.92","99.93","99.92","99.92"
06/08/2020,"99.93","99.93","99.92","99.92"
06/05/2020,"99.93","99.93","99.93","99.93"
06/04/2020,"99.93","99.93","99.93","99.93"
06/03/2020,"99.93","99.93","99.92","99.93"
06/02/2020,"99.93","99.93","99.93","99.93"
06/01/2020,"99.94","99.94","99.93","99.93"
05/29/2020,"99.95","99.96","99.95","99.95"
05/28/2020,"99.95","99.95","99.95","99.95"
05/27/2020,"99.96","99.96","99.95","99.95"
05/26/2020,"99.96","99.96","99.95","99.96"
05/22/2020,"99.96","99.96","99.96","99.96"
05/21/2020,"99.95","99.96","99.95","99.96"
05/20/2020,"99.95","99.96","99.95","99.95"
05/19/2020,"99.95","99.96","99.95","99.95"
05/18/2020,"99.95","99.95","99.95","99.95"
05/15/2020,"99.95","99.95","99.95","99.95"
05/14/2020,"99.95","99.95","99.95","99.95"
05/13/2020,"99.94","99.95","99.94","99.95"
05/12/2020,"99.94","99.94","99.94","99.94"
05/11/2020,"99.94","99.94","99.94","99.94"
05/08/2020,"99.94","99.94","99.94","99.94"
05/07/2020,"99.95","99.95","99.93","99.94"
05/06/2020,"99.95","99.95","99.95","99.95"
05/05/2020,"99.97","99.97","99.95","99.95"
05/04/2020,"99.97","99.97","99.97","99.97"
05/01/2020,"99.98","99.98","99.97","99.97"
04/30/2020,"99.98","99.98","99.98","99.98"
04/29/2020,"99.98","99.98","99.98","99.98"
04/28/2020,"99.98","99.98","99.98","99.98"
04/27/2020,"99.98","99.98","99.98","99.98"
04/24/2020,"99.98","99.98","99.98","99.98"
04/23/2020,"99.98","99.98","99.98","99.98"
04/22/2020,"99.98","99.98","99.98","99.98"
04/21/2020,"99.98","99.99","99.98","99.98"
04/20/2020,"99.98","99.98","99.98","99.98"
04/17/2020,"99.98","99.98","99.98","99.98"
04/16/2020,"99.98","99.98","99.97","99.97"
04/15/2020,"99.97","99.98","99.97","99.97"
04/14/2020,"99.96","99.97","99.96","99.97"
04/13/2020,"99.96","99.97","99.96","99.97"
04/09/2020,"99.97","99.97","99.97","99.97"
04/08/2020,"99.97","99.97","99.96","99.97"
04/07/2020,"99.96","99.97","99.96","99.97"
04/06/2020,"99.97","99.97","99.96","99.97"
04/03/2020,"99.95","99.97","99.95","99.97"
04/02/2020,"99.96","99.96","99.95","99.95"
04/01/2020,"99.95","99.96","99.95","99.95"
03/31/2020,"99.96","99.96","99.95","99.96"
03/30/2020,"99.95","99.96","99.95","99.95"
03/27/2020,"99.96","99.96","99.95","99.95"
03/26/2020,"99.95","99.96","99.95","99.95"
03/25/2020,"99.94","99.96","99.93","99.95"
03/24/2020,"99.95","99.96","99.93","99.94"
03/23/2020,"99.91","99.95","99.91","99.93"
03/20/2020,"99.91","99.93","99.90","99.92"
03/19/2020,"99.88","99.91","99.87","99.90"
03/18/2020,"99.87","99.89","99.86","99.88"
03/17/2020,"99.29","99.29","99.23","99.28"
03/16/2020,"99.35","99.36","99.26","99.29"
03/13/2020,"99.28","99.29","99.20","99.25"
03/12/2020,"99.22","99.34","99.19","99.26"
03/11/2020,"99.15","99.24","99.12","99.21"
03/10/2020,"99.21","99.21","99.09","99.12"
03/09/2020,"99.17","99.33","99.10","99.20"
03/06/2020,"99.08","99.15","99.01","99.08"
03/05/2020,"98.94","99.00","98.94","98.99"
03/04/2020,"99.02","99.02","98.88","98.94"
03/03/2020,"98.65","98.96","98.63","98.96"
03/02/2020,"98.70","98.78","98.66","98.70"
02/28/2020,"98.42","98.42","98.41","98.41"
02/27/2020,"98.41","98.41","98.41","98.41"
02/26/2020,"98.41","98.42","98.41","98.41"
02/25/2020,"98.41","98.42","98.41","98.42"
02/24/2020,"98.42","98.42","98.41","98.42"
02/21/2020,"98.41","98.42","98.41","98.42"
02/20/2020,"98.41","98.42","98.41","98.41"
02/19/2020,"98.42","98.42","98.41","98.42"
02/18/2020,"98.42","98.42","98.42","98.42"
02/14/2020,"98.41","98.42","98.41","98.42"
02/13/2020,"98.42","98.42","98.41","98.42"
02/12/2020,"98.42","98.42","98.42","98.42"
02/11/2020,"98.42","98.42","98.42","98.42"
02/10/2020,"98.41","98.42","98.41","98.42"
02/07/2020,"98.41","98.41","98.41","98.41"
02/06/2020,"98.41","98.41","98.41","98.41"
02/05/2020,"98.41","98.41","98.41","98.41"
02/04/2020,"98.41","98.41","98.41","98.41"
02/03/2020,"98.42","98.42","98.41","98.41"
01/31/2020,"98.45","98.46","98.45","98.46"
01/30/2020,"98.45","98.45","98.45","98.46"
01/29/2020,"98.45","98.46","98.45","98.45"
01/28/2020,"98.45","98.46","98.45","98.45"
01/27/2020,"98.45","98.45","98.45","98.45"
01/24/2020,"98.45","98.45","98.45","98.45"
01/23/2020,"98.45","98.45","98.45","98.45"
01/22/2020,"98.45","98.45","98.45","98.45"
01/21/2020,"98.45","98.45","98.45","98.45"
01/17/2020,"98.45","98.45","98.45","98.45"
01/16/2020,"98.45","98.45","98.45","98.45"
01/15/2020,"98.44","98.45","98.44","98.45"
01/14/2020,"98.44","98.44","98.44","98.44"
01/13/2020,"98.44","98.44","98.44","98.44"
01/10/2020,"98.44","98.45","98.44","98.44"
01/09/2020,"98.44","98.44","98.44","98.44"
01/08/2020,"98.44","98.44","98.44","98.44"
01/07/2020,"98.44","98.44","98.44","98.44"
01/06/2020,"98.45","98.45","98.44","98.44"
01/03/2020,"98.45","98.45","98.44","98.45"
01/02/2020,"98.45","98.45","98.45","98.45"
