S0, MC, AT, Avg, Diff
62, 0.03121432973984248, 0.03122618593122689, 0.031220257835534684, 0.000011856191384409381
70.75, 0.19962771200805793, 0.19933922589879874, 0.19948346895342833, 0.0002884861092591895
64.5, 0.05671598035802892, 0.05669408031320213, 0.056705030335615525, 0.000021900044826786425
71, 0.20858668781508546, 0.20870885948554915, 0.2086477736503173, 0.00012217167046368882
75.25, 0.41380489592859104, 0.41393903503167884, 0.41387196548013494, 0.00013413910308779364
131.5, 0, 0, 0, 0
138.5, 0, 0, 0, 0
72, 0.24780996110299708, 0.24786976982326323, 0.24783986546313014, 0.00005980872026614681
80.75, 0.8547935065095088, 0.8551958637870133, 0.854994685148261, 0.0004023572775044837
77.5, 0.5683685070863252, 0.5681485538766528, 0.568258530481489, 0.00021995320967249654
139.75, 0, 0, 0, 0
79.5, 0.7351520278310747, 0.73572416137486, 0.7354380946029673, 0.0005721335437852693
76, 0.46181279042025386, 0.46174145109861686, 0.46177712075943533, 0.00007133932163699841
107, 4.419719695349699, 4.420193874173464, 4.419956784761581, 0.0004741788237643263
60, 0.018570735796597463, 0.018480049035428825, 0.018525392416013142, 0.00009068676116863808
136.5, 0, 0, 0, 0
74.25, 0.35621561137948016, 0.3559209480665928, 0.35606827972303645, 0.0002946633128873555
65, 0.06350046424834989, 0.06340039067058567, 0.06345042745946777, 0.00010007357776421755
79.25, 0.7128778320284679, 0.7128015486797717, 0.7128396903541199, 0.00007628334869613784
93.5, 2.6361373883690407, 2.6363295528343933, 2.636233470601717, 0.00019216446535263998
64, 0.05053462994673778, 0.05070076513833114, 0.050617697542534465, 0.00016613519159335705
69, 0.14467694934991396, 0.14493770423578198, 0.14480732679284797, 0.00026075488586801976
78.5, 0.6481900047483041, 0.6482760639016837, 0.6482330343249939, 0.0000860591533795585
120.5, 3.4231007408916203, 3.4240598432959795, 3.4235802920938, 0.0009591024043591467
78.75, 0.6693691334068983, 0.6693378249374964, 0.6693534791721973, 0.000031308469401913896
67, 0.0974894820827409, 0.09740491050205717, 0.09744719629239904, 0.00008457158068372883
66.5, 0.08780458592608474, 0.08779898884070303, 0.08780178738339389, 0.000005597085381711664
80.25, 0.8056770807779265, 0.8061787943794018, 0.8059279375786641, 0.0005017136014752177
81, 0.8799016326727646, 0.8812740434402543, 0.8805878380565094, 0.001372410767489729
63.25, 0.04238298968221971, 0.0422782867519134, 0.04233063821706655, 0.00010470293030630934
79.75, 0.7583910702494269, 0.7591712161293342, 0.7587811431893805, 0.000780145879907379
81.5, 0.9325251706089206, 0.9328202238704686, 0.9326726972396946, 0.00029505326154799505
76.5, 0.49505464726450943, 0.49529188330730206, 0.4951732652859058, 0.00023723604279263233
77.75, 0.5877580363019734, 0.5875975157423673, 0.5876777760221703, 0.00016052055960613654
75.5, 0.4290906530370759, 0.4294618637503651, 0.4292762583937205, 0.0003712107132892162
79, 0.6912372167414831, 0.6907850122797401, 0.6910111145106116, 0.0004522044617429888
80, 0.7824364993109101, 0.7824664926453365, 0.7824514959781232, 0.000029993334426436924
66, 0.07902164912546598, 0.0789668284276661, 0.07899423877656604, 0.00005482069779988441
72.5, 0.26932368560366726, 0.26929283386669983, 0.2693082597351836, 0.00003085173696742993
76.25, 0.47849863342836885, 0.47806717870220833, 0.47828290606528856, 0.0004314547261605184
81.25, 0.905617864094753, 0.9061769174474612, 0.9058973907711071, 0.0005590533527082275
74.75, 0.3834932387709015, 0.38385303253619624, 0.3836731356535489, 0.00035979376529471363
128.5, 0.7011065089223281, 0.7012169013355063, 0.7011617051289172, 0.00011039241317822857
77.25, 0.5494851873321801, 0.5495572741254521, 0.5495212307288161, 0.00007208679327197487
70.25, 0.18230246282488224, 0.182466394639254, 0.18238442873206812, 0.00016393181437174276
68.5, 0.13172415703536275, 0.13152321031394298, 0.13162368367465288, 0.00020094672141976466
69.75, 0.1668619174855902, 0.1666594549193275, 0.16676068620245885, 0.00020246256626271775
65.5, 0.07070242395882352, 0.07088542464962777, 0.07079392430422565, 0.00018300069080424974
132.75, 0, 0, 0, 0
78.25, 0.6276870658338599, 0.6276885245327667, 0.6276877951833133, 0.000001458698906775524
69.5, 0.15904430162077723, 0.1590411092265625, 0.15904270542366988, 0.0000031923942147293882
74.5, 0.36978620328155015, 0.36994619339502344, 0.3698661983382868, 0.00015999011347328507
74, 0.3422608682573166, 0.3423066685571837, 0.34228376840725017, 0.00004580029986711587
61.5, 0.027338546429061507, 0.027457563292063464, 0.027398054860562487, 0.00011901686300195766
62.25, 0.033187187960178395, 0.03329650163792256, 0.03324184479905048, 0.00010931367774416612
71.25, 0.21756633593441968, 0.21801324271102684, 0.21778978932272325, 0.0004469067766071644
78, 0.6073061659001079, 0.6073020736560361, 0.607304119778072, 0.000004092244071829398
63, 0.039897258592937246, 0.03991495880680285, 0.039906108699870046, 0.000017700213865601278
73.75, 0.3295349188337646, 0.32922384097943375, 0.32937937990659916, 0.00031107785433087676
61.25, 0.025834113139549298, 0.025786190248075914, 0.025810151693812608, 0.00004792289147338355
75.75, 0.44494934926136837, 0.4452129830106739, 0.4450811661360211, 0.0002636337493055474
61.75, 0.029320582082050517, 0.029306602014608142, 0.02931359204832933, 0.000013980067442374844
76.75, 0.5130065005437431, 0.5129033006457367, 0.5129549005947399, 0.00010319989800633422
72.25, 0.2583374642148756, 0.2581490915014065, 0.25824327785814105, 0.00018837271346905382
75, 0.3986086406741942, 0.39843618903182515, 0.39852241485300965, 0.00017245164236906474
68.25, 0.1254478227436358, 0.12542073611763566, 0.12543427943063573, 0.000027086626000150105
80.5, 0.8297413469977717, 0.8305014827558845, 0.8301214148768281, 0.0007601357581128454
73.5, 0.31637402202557635, 0.31636325238870966, 0.31636863720714303, 0.000010769636866692078
