
Date, CD91
"20230410",3.51
"20230411",3.480
"20230412",3.430
"20230413",3.430
"20230414",3.43
"20230417",3.43
"20230418",3.44
"20230419",3.45
"20230420",3.470
"20230421",3.49
"20230424",3.49
"20230425",3.49
"20230426",3.5
"20230427",3.52
"20230428",3.52
"20230502",3.53
"20230503",3.55
"20230504",3.55
"20230508",3.55
"20230509",3.55
"20230510",3.59
"20230511",3.6
"20230512",3.61
"20230515",3.62
"20230516",3.62
"20230517",3.65
"20230518",3.66
"20230519",3.670
"20230522",3.68
"20230523",3.7
"20230524",3.73
"20230525",3.75
"20230526",3.75
"20230530",3.76
"20230531",3.76
"20230601",3.76
"20230602",3.760
"20230605",3.76
"20230607",3.75
"20230608",3.75
"20230609",3.75
"20230612",3.75
"20230613",3.75
"20230614",3.75
"20230615",3.75
"20230616",3.75
"20230619",3.75
"20230620",3.75
"20230621",3.75
"20230622",3.75
"20230623",3.75
"20230626",3.75
"20230627",3.75
"20230628",3.75
"20230629",3.75
"20230630",3.75
"20230703",3.75
"20230704",3.74
"20230705",3.74
"20230706",3.74
"20230707",3.75
"20230710",3.75
"20230711",3.75
"20230712",3.75
"20230713",3.75
"20230714",3.75
"20230717",3.75
"20230718",3.75
"20230719",3.75
"20230720",3.75
"20230721",3.75
"20230724",3.75
"20230725",3.75
"20230726",3.75
"20230727",3.74
"20230728",3.74
"20230731",3.740
"20230801",3.740
"20230802",3.740
"20230803",3.730
"20230804",3.720
"20230807",3.720
"20230808",3.700
"20230809",3.700
"20230810",3.680
"20230811",3.690
"20230814",3.690
"20230816",3.700
"20230817",3.700
"20230818",3.700
"20230821",3.700
"20230822",3.700
"20230823",3.690
"20230824",3.690
"20230825",3.690
"20230828",3.690
"20230829",3.690
"20230830",3.690
"20230831",3.690
"20230901",3.680
"20230904",3.690
"20230905",3.700
"20230906",3.710
"20230907",3.720
"20230908",3.720
"20230911",3.720
"20230912",3.730
"20230913",3.750
"20230914",3.760
"20230915",3.780
"20230918",3.790
"20230919",3.80
"20230920",3.810
"20230921",3.820
"20230922",3.830
"20230925",3.830
"20230926",3.83
"20230927",3.830
"20231004",3.840
"20231005",3.830
"20231006",3.820
"20231010",3.820
"20231011",3.820
"20231012",3.820
"20231013",3.820
"20231016",3.820
"20231017",3.820
"20231018",3.820
"20231019",3.820
"20231020",3.820
"20231023",3.820
"20231024",3.820
"20231025",3.820
"20231026",3.820
"20231027",3.820
"20231030",3.820
"20231031",3.820
"20231101",3.830
"20231102",3.830
"20231103",3.830
"20231106",3.830
"20231107",3.830
"20231108",3.830
"20231109",3.830
"20231110",3.830
"20231113",3.830
"20231114",3.830
"20231115",3.830
"20231116",3.830
"20231117",3.830
"20231120",3.830
"20231121",3.830
"20231122",3.830
"20231123",3.840
"20231124",3.84
"20231127",3.840
"20231128",3.840
"20231129",3.840
"20231130",3.84
"20231201",3.84
"20231204",3.84
